"No.","Time","Source","Destination","Protocol","Length","Info"
"16995","16.937739","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:43136 (Valid,Primary,Ok,Run)"
"16996","16.938040","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:22080 (Valid,Primary,Ok,Run)"
"16997","16.939739","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:43200 (Valid,Primary,Ok,Run)"
"16998","16.940034","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:22144 (Valid,Primary,Ok,Run)"
"16999","16.941748","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:43264 (Valid,Primary,Ok,Run)"
"17000","16.942056","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:22208 (Valid,Primary,Ok,Run)"
"17001","16.943744","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:43328 (Valid,Primary,Ok,Run)"
"17002","16.944058","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:22272 (Valid,Primary,Ok,Run)"
"17003","16.945745","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:43392 (Valid,Primary,Ok,Run)"
"17004","16.946058","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:22336 (Valid,Primary,Ok,Run)"
"17005","16.948027","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:22400 (Valid,Primary,Ok,Run)"
"17006","16.948331","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:43456 (Valid,Primary,Ok,Run)"
"17007","16.950019","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:22464 (Valid,Primary,Ok,Run)"
"17008","16.950317","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:43520 (Valid,Primary,Ok,Run)"
"17009","16.951739","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:43584 (Valid,Primary,Ok,Run)"
"17010","16.952042","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:22528 (Valid,Primary,Ok,Run)"
"17011","16.953763","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:43648 (Valid,Primary,Ok,Run)"
"17012","16.954035","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:22592 (Valid,Primary,Ok,Run)"
"17013","16.955730","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:43712 (Valid,Primary,Ok,Run)"
"17014","16.955990","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:22656 (Valid,Primary,Ok,Run)"
"17015","16.957848","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:43776 (Valid,Primary,Ok,Run)"
"17016","16.958074","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:22720 (Valid,Primary,Ok,Run)"
