"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5760 (Valid,Primary,Ok,Run)"
"2","0.001550","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:27776 (Valid,Primary,Ok,Run)"
"3","0.002013","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5824 (Valid,Primary,Ok,Run)"
"4","0.003520","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:27840 (Valid,Primary,Ok,Run)"
"5","0.004007","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5888 (Valid,Primary,Ok,Run)"
"6","0.005553","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:27904 (Valid,Primary,Ok,Run)"
"7","0.006007","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 5952 (Valid,Primary,Ok,Run)"
"8","0.007563","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:27968 (Valid,Primary,Ok,Run)"
"9","0.008006","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6016 (Valid,Primary,Ok,Run)"
"10","0.009575","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28032 (Valid,Primary,Ok,Run)"
"11","0.010008","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6080 (Valid,Primary,Ok,Run)"
"12","0.011572","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28096 (Valid,Primary,Ok,Run)"
"13","0.012009","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6144 (Valid,Primary,Ok,Run)"
"14","0.013563","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28160 (Valid,Primary,Ok,Run)"
"15","0.014003","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6208 (Valid,Primary,Ok,Run)"
"16","0.015555","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28224 (Valid,Primary,Ok,Run)"
"17","0.015971","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6272 (Valid,Primary,Ok,Run)"
"18","0.017527","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28288 (Valid,Primary,Ok,Run)"
"19","0.017970","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6336 (Valid,Primary,Ok,Run)"
"20","0.019525","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28352 (Valid,Primary,Ok,Run)"
"21","0.019973","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6400 (Valid,Primary,Ok,Run)"
"22","0.021525","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28416 (Valid,Primary,Ok,Run)"
"23","0.021970","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6464 (Valid,Primary,Ok,Run)"
"24","0.023526","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28480 (Valid,Primary,Ok,Run)"
"25","0.023969","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6528 (Valid,Primary,Ok,Run)"
"26","0.025528","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28544 (Valid,Primary,Ok,Run)"
"27","0.025970","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6592 (Valid,Primary,Ok,Run)"
"28","0.027524","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28608 (Valid,Primary,Ok,Run)"
"29","0.027971","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6656 (Valid,Primary,Ok,Run)"
"30","0.029527","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28672 (Valid,Primary,Ok,Run)"
"31","0.029971","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6720 (Valid,Primary,Ok,Run)"
"32","0.031530","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28736 (Valid,Primary,Ok,Run)"
"33","0.031975","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6784 (Valid,Primary,Ok,Run)"
"34","0.033533","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28800 (Valid,Primary,Ok,Run)"
"35","0.033970","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6848 (Valid,Primary,Ok,Run)"
"36","0.035539","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28864 (Valid,Primary,Ok,Run)"
"37","0.035977","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6912 (Valid,Primary,Ok,Run)"
"38","0.037542","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28928 (Valid,Primary,Ok,Run)"
"39","0.037975","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 6976 (Valid,Primary,Ok,Run)"
"40","0.039548","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:28992 (Valid,Primary,Ok,Run)"
"41","0.039971","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 7040 (Valid,Primary,Ok,Run)"
"42","0.041531","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:29056 (Valid,Primary,Ok,Run)"
"43","0.041972","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 7104 (Valid,Primary,Ok,Run)"
"44","0.043531","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:29120 (Valid,Primary,Ok,Run)"
"45","0.043969","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 7168 (Valid,Primary,Ok,Run)"
"46","0.045536","Beckhoff_2b:ae:e8","Siemens_ad:78:fc","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle:29184 (Valid,Primary,Ok,Run)"
"47","0.045971","Siemens_ad:78:fc","Beckhoff_2b:ae:e8","PNIO","64","RTC1, ID:0x8000, Len:  40, Cycle: 7232 (Valid,Primary,Ok,Run)"
