ID,BUS_PERCENT,STAY_C,PROPLOYALTY,PRICE_INDEX,LEADTIME,CRO_BOOK_PCT,SUCCESS_B,POINTS_EARNEDPERREV,MIDSCALE_PCT,UPSCALE_PCT,EXT_STAY_PCT,COPARTNER_B,AIRPORT_PCT,RESORT_PCT,SUBURBAN_PCT,SMALLTOWN_PCT,URBAN_PCT,ADJMS_B,DIST1_PCT,WEEKENDS_PCT,US_US_PCT,MEMBER_CLUB,POINTS_COLLECTOR,GDS_BOOK_PCT,WEB_BOOK_PCT,P_REDEEM_B,REGISTRATION_B,NIGHTSPERSTAY,REVPERNIGHT
14632,0,1,1,1.014994973,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0.666666667,1,1,1,0,0,0,0,3,125
178368,0,3,0.666666667,0.44020852,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,38.33333333
28394,0,3,0.333333333,1.012888359,2,0,1,12.74054054,1,0,0,0,0,0,0,1,0,0,0.666666667,0,1,1,1,0,1,0,1,1.333333333,92.5
32865,0,8,0.75,1.249044286,57.5,0,0,3.899303136,0.25,0,0.75,0,0.25,0,0.75,0,0,0,0,0.0625,1,0,1,0,1,1,0,4,89.6875
68609,0,1,1,0.933546772,5,1,0,13.54237288,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2,147.5
198894,0,1,1,0.839218516,0,0,0,15.70338983,1,0,0,0,0,0,0,1,0,0,0,0.25,1,1,1,0,0,0,0,8,59
173111,0,1,1,1.548908113,0,0,0,10.90333333,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,2,150
94434,0,1,1,0.987789787,0,0,0,10.77083333,1,0,0,0,0,0,0,0,1,0,1,0.333333333,1,1,1,0,0,0,0,3,144
221838,0,3,0.333333333,1.226548925,-1,0,1,0,1,0,0,0,0,0,1,0,0,0,0.333333333,0.153846154,1,1,0,0,0,0,1,4.333333333,94.76923077
76645,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.285714286,1,1,1,0,0,0,0,14,0
77445,0,54.93575582,0.965517241,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.3,0.034482759,0,1,0,0,0,1,1.379310345,0
231923,0.75,2,0.5,0.929975791,200,0,0,0.072072072,0.5,0.5,0,1,0,0,0,0.5,0.5,0,0,0,1,1,0,0,0,0,0,2,111
65049,0,1,1,0.964476151,-1,0,0,12.01111111,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,90
151197,0.054054054,7,0.714285714,0.966021293,3.428571429,0.142857143,0,10.84296029,1,0,0,0,0,0,1,0,0,0,0,0.243243243,1,0,1,0,0,0,0,5.285714286,89.83783784
93803,1,1,1,1.120990131,0,0,1,10.05025126,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,199
320796,0,1,1,1.274105569,46,0,0,15.90697674,1,0,0,0,0,0,0,0,0,0,0,0.25,0,1,1,0,1,0,0,4,96.75
43421,0,2,0.5,0.790232485,1,1,0,11.20923379,1,0,0,0,0,0,0,0,0,0,0,0.285714286,0,1,1,0,0,0,0,3.5,145.4285714
231750,0,1,1,0.783293104,0,0,0,10,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,76
123836,0,2,0.5,0.629608429,0,0.5,0,2.414141414,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3.5,28.28571429
13330,0,2,1,1.265527161,3,1,1,10.00934579,1,0,0,0,0,0,0,1,0,0,1,0.5,1,1,1,0,0,0,1,1,107
181205,0,4,1,1.767742976,-1,0,1,2.5,0,0,1,0,0,0,1,0,0,0,1,0.5,1,1,1,0,1,0,1,1,130
39298,0,1,1,1.067202298,5,1,0,10.48979592,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,3,98
75680,0,3,0.333333333,0.633599229,4,0,0,18.51851852,1,0,0,0,0,0,0,1,0,0,0.333333333,0.666666667,1,1,1,0,1,1,1,1,54
50373,0,1,1,1.058197084,0,0,0,6.872852234,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,145.5
143385,0,1,1,0.967367078,2,1,1,10.14705882,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,68
36061,0,7,0.285714286,0.971372267,1.75,0,0,8.565986395,0.857142857,0,0.142857143,0,0,0,0.285714286,0.714285714,0,0,1,0,1,1,1,0,0.75,0,1,1.428571429,73.5
217455,0,1,1,1.095555224,0,0,0,10.02469136,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,81
277762,0,1,1,1.036755264,0,0,0,13.04878049,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,4,82
28528,0,1,1,0.228994198,1,0,0,0.026315789,0,1,0,0,0,0,0,0,1,0,0,0.333333333,0,1,1,0,0,0,1,12,34.83333333
33342,0,2,0.5,1.277900212,0,0,0,11.21428571,1,0,0,0,0.5,0,0.5,0,0,0,0,0.333333333,1,1,1,0,0,0,0,1.5,98
101669,0,1,1,0.896039586,0,0,0,10.02531646,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,79
198875,0,1,1,1.725430698,0,0,0,5.917159763,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,169
220242,0,4,0.5,0.505082807,0,1,0,4.954901961,1,0,0,0,0.75,0,0,0,0.25,0,0,0.25,0,0,1,0,0,0,0,2,63.75
153878,0,1,1,0.729027554,0,0,0,12.65822785,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,79
261275,0,1,1,1.280808741,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,139
32867,0,1,1,1.334487944,0,0,1,49.2605364,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,2,130.5
71535,0,3,0.333333333,1.193100566,6,0,0,0,1,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0.285714286,1,1,0,0,0,0,0,2.333333333,104.4285714
362785,0,1,1,1.230304003,0,0,0,10,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,109
16863,0,1,1,1.051982639,0,0,0,10.99731183,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,2,186
97902,0,1,1,0.153456879,21,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,10
48209,1,2,0.5,1.234118546,0,0,1,0,0.5,0,0.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1.5,77.66666667
303596,0,1,1,0.953842815,1,1,0,10,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,89
