   1    2 99.97 99.96
   1    3 99.99 100.00
   1    4 99.98 100.00
   1    5 99.95 99.96
   1    6 90.36 95.90
   1    7 100.00 100.00
   1    8 99.97 99.96
   1    9 98.30 98.99
   1   10 99.99 100.00
   1   11 100.00 100.00
   2    3 100.00 99.99
   2    4 100.00 99.99
   2    5 99.97 100.00
   2    6 99.97 99.93
   2    7 100.00 100.00
   2    8 99.99 99.97
   2    9 99.61 99.61
   2   10 87.82 90.34
   2   11 100.00 100.00
   3    4 96.03 99.09
   3    5 94.14 96.67
   3    6 99.93 99.96
   3    7 100.00 100.00
   3    8 99.56 99.76
   3    9 99.74 99.53
   3   10 99.99 100.00
   3   11 100.00 100.00
   4    5 95.48 98.20
   4    6 99.99 100.00
   4    7 99.95 99.92
   4    8 99.32 99.45
   4    9 99.95 99.83
   4   10 100.00 100.00
   4   11 100.00 100.00
   5    6 99.94 99.90
   5    7 99.98 99.99
   5    8 86.40 88.36
   5    9 99.95 99.95
   5   10 99.96 100.00
   5   11 100.00 100.00
   6    7 100.00 100.00
   6    8 99.88 99.94
   6    9 85.28 90.28
   6   10 100.00 100.00
   6   11 100.00 100.00
   7    8 100.00 99.99
   7    9 100.00 100.00
   7   10 100.00 100.00
   7   11 100.00 100.00
   8    9 99.96 99.92
   8   10 100.00 99.99
   8   11 100.00 100.00
   9   10 99.76 99.73
   9   11 100.00 100.00
  10   11 100.00 100.00
